date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:25:17	38985/38985	---M--	200	added ('OK')	image/png	etag:%2213408b7-9849-53f162cb4f5a8%22	http://jungonet.com/public/images/jungonet-logo-dark.png	C:/My%20Web%20Sites/social%20network/social%20network/jungonet.com/public/images/jungonet-logo-dark.png	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
02:25:17	21972/21972	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:15%20GMT	http://myanmarfuturocoin.jungonet.com/about/Privacy_Policy	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Privacy_Policy-2.html	(from http://myanmarfuturocoin.jungonet.com/signup)
02:25:17	5614/5614	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:15%20GMT	http://myanmarfuturocoin.jungonet.com/about/terms/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/terms/index.html	(from http://myanmarfuturocoin.jungonet.com/signup)
02:25:18	6397/6397	---M--	200	added ('OK')	image/gif	etag:%2213407f1-18fd-54c87472ec642%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/network.gif	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/network.gif	(from http://myanmarfuturocoin.jungonet.com/users)
02:25:19	10883/10883	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:17%20GMT	http://myanmarfuturocoin.jungonet.com/about/Cookie_Policy	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Cookie_Policy.html	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:20	7532/7532	---M--	200	added ('OK')	image/jpeg	etag:%221340c02-1d6c-565d6c51b5998%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/15193479870Nt05.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/15193479870Nt05.jpg	(from http://myanmarfuturocoin.jungonet.com/videos)
02:25:20	6982/6982	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:18%20GMT	http://myanmarfuturocoin.jungonet.com/about/Help	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Help.html	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:21	9014/9014	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:19%20GMT	http://myanmarfuturocoin.jungonet.com/about/Terms_and_Conditions	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Terms_and_Conditions.html	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:33	63506/63506	---M--	200	added ('OK')	image/jpeg	etag:%2213601ab-f812-547cea4dce180%22	http://myanmarfuturocoin.jungonet.com/public/images/info/sign-up2.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/info/sign-up2.jpg	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:39	113481/113481	---M--	200	added ('OK')	image/jpeg	etag:%2213601aa-1bb49-547ce558695e3%22	http://myanmarfuturocoin.jungonet.com/public/images/info/sign-up.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/info/sign-up.jpg	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:42	11599/11599	---M--	200	added ('OK')	image/jpeg	etag:%221340c2f-2d4f-56e1d81fbfee5%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/152844789660MpX.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/152844789660MpX.jpg	(from http://myanmarfuturocoin.jungonet.com/hashtag/MugabeMustGo)
02:25:45	10126/10126	---M--	200	added ('OK')	image/jpeg	etag:%221340937-278e-54f960ee973bc%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1494880797mAB47.jpeg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1494880797mAB47.jpg	(from http://myanmarfuturocoin.jungonet.com/hashtag/GraceMugabe)
02:25:47	6707/6707	---M--	200	added ('OK')	image/png	etag:%221340c22-1a33-56caa4c94e972%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1526853568vo8g6.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1526853568vo8g6.png	(from http://myanmarfuturocoin.jungonet.com/hashtag/AsifuniBumbulu)
02:25:47	93103/93103	---M--	200	added ('OK')	image/jpeg	etag:%2213601ac-16baf-547d0176ede70%22	http://myanmarfuturocoin.jungonet.com/public/images/info/sign-up3.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/info/sign-up3.jpg	(from http://myanmarfuturocoin.jungonet.com/about/help/)
02:25:49	6319/6319	---M--	200	added ('OK')	image/jpeg	etag:%221340ab2-18af-5586b695e9867%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1504593235aGatS.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1504593235aGatS.jpg	(from http://myanmarfuturocoin.jungonet.com/hashtag/Mthwakazi!,)
02:25:50	8966/8966	---M--	200	added ('OK')	image/png	etag:%221340932-2306-54f8ef3226fd1%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1494850266LsDmm.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1494850266LsDmm.png	(from http://myanmarfuturocoin.jungonet.com/hashtag/Mthwakazi!,)
02:25:51	6333/6333	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:55:49%20GMT	http://myanmarfuturocoin.jungonet.com/login/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/login/index.html	(from http://myanmarfuturocoin.jungonet.com/forgot_password/)
02:25:52	11589/11589	---M--	200	added ('OK')	image/jpeg	etag:%221340c0b-2d45-5670e9ba98db9%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1520687321f80qq.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1520687321f80qq.jpg	(from http://myanmarfuturocoin.jungonet.com/hashtag/TytanEP)
02:25:59	657486/657486	---M--	200	added ('OK')	image/jpeg	etag:%221360193-a084e-5416a81df5d61%22	http://myanmarfuturocoin.jungonet.com/public/images/covers/networking-1366x645.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/covers/networking-1366x645.jpg	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
02:28:56	5016931/5016931	---M--	200	added ('OK')	image/jpeg	etag:%221360195-4c8d63-5416a824b65f5%22	http://myanmarfuturocoin.jungonet.com/public/images/covers/networking-1900x875.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/covers/networking-1900x875.jpg	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
